,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
175,"Multi Millionaire (feat. Lil Uzi Vert)","Lil Pump",620554,https://open.spotify.com/track/7q8cy4uoA2itYATsKeXhcq
176,"Call Out My Name","The Weeknd",617025,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
177,"Pet Cheetah","Twenty One Pilots",613134,https://open.spotify.com/track/7daBwTiPNOVgoMUG4SICgh
178,"Thinking Out Loud","Ed Sheeran",612931,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
179,"Love No More","Loud Luxury",611268,https://open.spotify.com/track/15fZrZhdK0g1BS9sDeW6sD
180,"Sin (feat. Jaden Smith)","Young Thug",609345,https://open.spotify.com/track/1Jl21sidRpEdlVBvYbssLx
181,"Self Care","Mac Miller",609205,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
182,"Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV)","Lil Baby",604583,https://open.spotify.com/track/6PoKfDY78ih5OveWirggRX
183,"Something Just Like This","The Chainsmokers",604470,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
184,Photograph,"Ed Sheeran",602977,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
185,"Wonderwall - Remastered",Oasis,600358,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
186,"Not Alike (feat. Royce Da 5'9)",Eminem,599840,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
187,"8 Letters","Why Don't We",595500,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
188,Unica,Ozuna,591012,https://open.spotify.com/track/33b2wX9d0kxqxhi7lcsC1A
189,Africa,Toto,589444,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
190,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",588436,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
191,"Me Dijeron",Ozuna,587157,https://open.spotify.com/track/17UUYZ290omPaJY4wKeyHh
192,"Don’t Matter To Me (with Michael Jackson)",Drake,584311,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
193,Wolves,"Selena Gomez",583565,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
194,"Nummer unterdrückt","Bonez MC",581256,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
195,Ibiza,Ozuna,577261,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
196,"Ric Flair Drip (& Metro Boomin)",Offset,570097,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
197,goosebumps,"Travis Scott",569883,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
198,"Mr. Brightside","The Killers",566545,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
199,Legend,"Twenty One Pilots",560752,https://open.spotify.com/track/1CDVadnneswMxi6gBqJTtC
200,"Blah Blah Blah","Armin van Buuren",559549,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
